epoch,acc,loss,val_acc,val_loss
0,0.50668,0.693121822281,0.51,0.693129377422
1,0.5055,0.693097536602,0.50972,0.69310988596
2,0.51238,0.693076271782,0.50176,0.693078324623
3,0.51202,0.693051427174,0.499,0.693060711594
4,0.50634,0.693045877113,0.50724,0.69304904995
